[root@Bell-Boy ~]# ./powermonitor
At 0 minutes, received 446
At 1 minutes, received 446
At 2 minutes, received 446
At 3 minutes, received 447
At 4 minutes, received 448
At 5 minutes, received 447
At 6 minutes, received 448
At 7 minutes, received 448
At 8 minutes, received 449
At 9 minutes, received 450
At 10 minutes, received 449
At 11 minutes, received 451
At 12 minutes, received 450
At 13 minutes, received 451
At 14 minutes, received 452
At 15 minutes, received 451
At 16 minutes, received 452
At 17 minutes, received 453
At 18 minutes, received 453
At 19 minutes, received 453
At 20 minutes, received 455
At 21 minutes, received 454
At 22 minutes, received 457
At 23 minutes, received 455
At 24 minutes, received 456
At 25 minutes, received 456

At 26 minutes, received 456
At 27 minutes, received 457
At 28 minutes, received 457
At 29 minutes, received 457
At 30 minutes, received 457
At 31 minutes, received 458
At 32 minutes, received 458
At 33 minutes, received 459
At 34 minutes, received 459
At 35 minutes, received 459
At 36 minutes, received 461
At 37 minutes, received 459
At 38 minutes, received 460
At 39 minutes, received 461
At 40 minutes, received 460
At 41 minutes, received 461
At 42 minutes, received 462
At 43 minutes, received 462
At 44 minutes, received 462
At 45 minutes, received 463
At 46 minutes, received 466
At 47 minutes, received 464
At 48 minutes, received 465
At 49 minutes, received 465

At 50 minutes, received 466
At 51 minutes, received 466
At 52 minutes, received 467
At 53 minutes, received 467
At 54 minutes, received 468
At 55 minutes, received 467
At 56 minutes, received 468
At 57 minutes, received 470
At 58 minutes, received 470
At 59 minutes, received 470
At 60 minutes, received 470
At 61 minutes, received 471
At 62 minutes, received 471
At 63 minutes, received 472
At 64 minutes, received 471
At 65 minutes, received 471
At 66 minutes, received 472
At 67 minutes, received 472
At 68 minutes, received 474
At 69 minutes, received 472
At 70 minutes, received 474
At 71 minutes, received 476
At 72 minutes, received 474
At 73 minutes, received 475
At 74 minutes, received 475

At 75 minutes, received 475
At 76 minutes, received 475
At 77 minutes, received 476
At 78 minutes, received 476
At 79 minutes, received 476
At 80 minutes, received 477
At 81 minutes, received 478
At 82 minutes, received 477
At 83 minutes, received 478
At 84 minutes, received 478
At 85 minutes, received 478
At 86 minutes, received 478
At 87 minutes, received 480
At 88 minutes, received 479
At 89 minutes, received 480
At 90 minutes, received 480
At 91 minutes, received 480
At 92 minutes, received 481
At 93 minutes, received 481
At 94 minutes, received 483
At 95 minutes, received 484
At 96 minutes, received 482
At 97 minutes, received 483
At 98 minutes, received 482
At 99 minutes, received 483

At 100 minutes, received 482
At 101 minutes, received 483
At 102 minutes, received 484
At 103 minutes, received 483
At 104 minutes, received 484
At 105 minutes, received 484
At 106 minutes, received 486
At 107 minutes, received 486
At 108 minutes, received 485
At 109 minutes, received 487
At 110 minutes, received 486
At 111 minutes, received 487
At 112 minutes, received 487
At 113 minutes, received 486
At 114 minutes, received 487
At 115 minutes, received 487
At 116 minutes, received 488
At 117 minutes, received 488
At 118 minutes, received 488
At 119 minutes, received 490
At 120 minutes, received 488
At 121 minutes, received 489
At 122 minutes, received 489
At 123 minutes, received 489
At 124 minutes, received 489

At 125 minutes, received 490
At 126 minutes, received 490
At 127 minutes, received 490
At 128 minutes, received 490
At 129 minutes, received 490
At 130 minutes, received 492
At 131 minutes, received 491
At 132 minutes, received 491
At 133 minutes, received 492
At 134 minutes, received 492
At 135 minutes, received 493
At 136 minutes, received 493
At 137 minutes, received 492
At 138 minutes, received 493
At 139 minutes, received 493
At 140 minutes, received 494
At 141 minutes, received 494
At 142 minutes, received 493
At 143 minutes, received 494
At 144 minutes, received 494
At 145 minutes, received 494
At 146 minutes, received 495
At 147 minutes, received 494
At 148 minutes, received 495
At 149 minutes, received 495

At 150 minutes, received 495
At 151 minutes, received 496
At 152 minutes, received 495
At 153 minutes, received 497
At 154 minutes, received 497
At 155 minutes, received 497
At 156 minutes, received 496
At 157 minutes, received 496
At 158 minutes, received 496
At 159 minutes, received 497
At 160 minutes, received 498
At 161 minutes, received 497
At 162 minutes, received 497
At 163 minutes, received 497
At 164 minutes, received 498
At 165 minutes, received 499
At 166 minutes, received 498
At 167 minutes, received 498
At 168 minutes, received 501
At 169 minutes, received 499
At 170 minutes, received 499
At 171 minutes, received 500
At 172 minutes, received 500
At 173 minutes, received 501
At 174 minutes, received 501

At 175 minutes, received 501
At 176 minutes, received 500
At 177 minutes, received 500
At 178 minutes, received 501
At 179 minutes, received 500
At 180 minutes, received 501
At 181 minutes, received 504
At 182 minutes, received 501
At 183 minutes, received 501
At 184 minutes, received 502
At 185 minutes, received 502
At 186 minutes, received 501
At 187 minutes, received 501
At 188 minutes, received 501
At 189 minutes, received 502
At 190 minutes, received 502
At 191 minutes, received 501
At 192 minutes, received 502
At 193 minutes, received 502
At 194 minutes, received 504
At 195 minutes, received 504
At 196 minutes, received 502
At 197 minutes, received 503
At 198 minutes, received 505
